,frequency
Conseil,7645
Bon,5324
Merci,5015
Conseiller,4907
Problème,4285
Free,3891
Très,3290
Service,2946
Appel,2532
Réponse,2349
Téléphone,2297
Satisfait,2241
Technicien,2079
Box,1967
Client,1958
Rapide,1929
Solution,1416
Bonjour,1322
Internet,1289
Temps,1288
Parfait,1132
Attente,1080
Fibre,940
Équipe,937
Intervention,868
Réseau,868
Mobile,860
Forfait,858
Commercial,853
Cordialement,805
Lent,804
Panne,769
Information,720
Assistance,708
Aide,686
Déçu,668
Tout,636
Julien,634
Super,633
Excellent,613
Vous,598
Les,573
Pas,572
Personne,562
Facture,558
Freebox,558
Content,552
Sav,524
Rien,519
Une,492
Conseillère,473
Bravo,457
Mais,447
Pour,440
Mon,439
Bien,418
Nous,396
Ras,391
Marie,391
Technique,375
Qualité,373
Par,359
Cela,350
Elle,346
Dubois,346
Aucune,338
Dommage,327
Contrat,324
Mauvais,320
Installation,314
Toujours,309
Correct,307
Sophie,276
Léa,273
Rdv,267
Wifi,266
Bonne,265
Après,258
Top,258
Votre,239
Martin,237
Orange,229
Jean,213
Leroy,203
Thomas,198
Dépannage,196
Comme,196
Non,195
Prix,195
Depuis,192
Agent,183
Donc,179
Élodie,178
Mécontent,174
Proxi,171
Fixe,169
Débit,168
Aucun,160
Dans,158
Pierre,155
Impossible,154
Mme,153
Encore,149
Support,145
Malgré,144
Tres,140
Trop,139
Pop,134
Plus,134
Cette,134
Suite,133
Vraiment,133
Rue,132
Paix,132
Monsieur,131
Quand,130
Sans,128
Voltaire,122
Oui,121
Boulevard,121
Des,120
Avenue,111
Champs,111
Sfr,108
Juste,108
Bouygues,106
Accueil,103
Heureusement,99
Que,98
Pourquoi,97
Bref,96
Excellente,94
Franchement,94
Continuez,93
Sinon,91
Bonsoir,91
Avec,90
Interlocuteur,87
Madame,86
France,85
Délai,83
Malheureusement,80
Impeccable,80
Alors,80
Cependant,79
Lors,79
Vos,78
Moreau,77
Paris,76
Aujourd,75
Efficace,74
Comment,74
Boxe,73
Satisfaite,71
Échange,71
Beaucoup,70
Accompagnement,69
Lefebvre,68
Conseillé,68
Nul,68
Ils,67
Même,66
Interlocutrice,64
Félicitations,64
Laurent,64
Enfin,63
Demande,63
Rapidité,61
Personnel,61
Mes,59
Marc,59
Difficile,58
Netflix,55
Étant,54
Maintenant,54
Nickel,53
Sur,50
Grand,49
Conseillers,49
Révolution,48
Canal,48
Explications,47
Lorsque,47
Professionnel,47
Camille,46
Car,46
Salutations,45
Tous,45
Voilà,45
Peut,45
Contact,44
Saint,43
Résultat,43
Quel,43
Réactivité,43
Reef,42
Plusieurs,42
Moi,41
Ultra,41
Efficacité,41
Luc,40
Est,38
Inadmissible,38
Veuillez,38
Finalement,37
Surtout,37
Ensuite,37
Manque,37
Pouvez,36
Pourtant,36
Avant,36
Concernant,35
Pro,35
Prise,34
Deux,34
Cdt,33
Notre,33
Lucas,33
Grâce,33
Quelle,33
Delta,32
Communication,32
Traitement,31
Désolé,31
Réponses,30
Jusqu,29
Equipe,29
Aussi,29
Clair,29
Qui,29
Néanmoins,28
Toutefois,28
Quant,28
Seul,27
Proxy,27
Délais,26
Avoir,26
Samsung,26
Ces,26
Opératrice,25
Opérateur,25
Superbe,25
Apparemment,25
Ayant,25
Ceci,25
Son,24
Agréable,24
Entre,24
Bjr,24
Belle,24
Professionnalisme,24
Heureux,23
Louise,23
Chaque,22
Suis,22
Amabilité,22
Puis,22
Continuer,22
Aimable,22
Toutes,22
Réactif,21
Déjà,21
Cdlt,21
Mauvaise,21
Intervenant,21
Chez,20
Apple,20
Cliente,20
Simple,20
Clara,19
Lyon,19
Hier,19
Satisfaction,19
Mille,19
Honteux,19
Pourriez,19
Informations,18
Échanges,18
Hors,18
Lemoine,18
Google,18
Ses,18
Cet,18
Ravie,18
Léo,18
Lorsqu,17
Sachant,17
Pendant,17
Théo,17
Incident,17
Rendez,17
Flex,17
Difficultés,17
Claire,17
Déçue,17
Jamais,17
Dame,17
Parfaitement,16
Difficulté,16
Gentillesse,16
Dès,16
Faites,16
Rappel,16
Obligé,16
Sim,16
Incroyable,16
Sympa,16
Sauf,16
Celui,16
Parfois,16
Première,16
Changement,16
Maroc,15
Sosh,15
Faut,15
Attitude,15
