source,target,weight
Service,Mais,58
Service,Forfait,132
Service,Déçu,142
Service,Mobile,177
Service,Free,761
Service,Temps,178
Service,Les,89
Service,Information,120
Service,Conseil,606
Service,Conseiller,437
Service,Bon,741
Service,Satisfait,329
Service,Problème,506
Service,Bravo,51
Service,Client,687
Service,Bonjour,218
Service,Sav,100
Service,Commercial,220
Service,Réponse,307
Service,Cordialement,136
Service,Attente,126
Service,Facture,110
Service,Solution,205
Service,Panne,100
Service,Fibre,135
Service,Intervention,117
Service,Box,333
Service,Une,68
Service,Technicien,261
Service,Freebox,104
Service,Rapide,232
Service,Merci,357
Service,Appel,426
Service,Téléphone,309
Service,Pour,76
Service,Très,190
Service,Assistance,162
Service,Aide,82
Service,Julien,85
Service,Pas,63
Service,Réseau,139
Service,Tout,39
Service,Content,130
Service,Équipe,105
Service,Excellent,89
Service,Lent,124
Service,Vous,100
Service,Internet,198
Service,Bien,58
Service,Marie,55
Service,Nous,63
Service,Rien,36
Service,Parfait,10
Service,Mon,52
Service,Ras,5
Service,Super,37
Service,Personne,22
Service,Conseillère,16
Mais,Forfait,28
Mais,Déçu,21
Mais,Mobile,39
Mais,Bon,138
Mais,Merci,55
Mais,Appel,75
Mais,Problème,106
Mais,Nous,14
Mais,Conseil,165
Mais,Rien,7
Mais,Solution,34
Mais,Conseiller,116
Mais,Assistance,14
Mais,Pas,8
Mais,Réponse,64
Mais,Téléphone,80
Mais,Internet,40
Mais,Satisfait,31
Mais,Free,108
Mais,Client,42
Mais,Julien,8
Mais,Technicien,56
Mais,Cordialement,25
Mais,Équipe,11
Mais,Bravo,4
Mais,Fibre,33
Mais,Rapide,33
Mais,Freebox,23
Mais,Pour,14
Mais,Panne,27
Mais,Box,76
Mais,Vous,13
Mais,Bonjour,41
Mais,Aide,12
Mais,Marie,12
Mais,Bien,13
Mais,Les,20
Mais,Tout,9
Mais,Intervention,24
Mais,Information,17
Mais,Sav,17
Mais,Attente,27
Mais,Temps,37
Mais,Facture,18
Mais,Une,13
Mais,Content,12
Mais,Commercial,24
Mais,Conseillère,4
Mais,Très,19
Mais,Réseau,29
Mais,Excellent,4
Mais,Lent,6
Mais,Mon,8
Mais,Personne,2
Mais,Super,1
Forfait,Déçu,63
Forfait,Mobile,189
Forfait,Conseil,227
Forfait,Conseiller,154
Forfait,Pour,27
Forfait,Appel,162
Forfait,Téléphone,152
Forfait,Sav,27
Forfait,Client,150
Forfait,Information,42
Forfait,Assistance,24
Forfait,Panne,27
Forfait,Internet,98
Forfait,Free,236
Forfait,Solution,48
Forfait,Bonjour,77
Forfait,Cordialement,52
Forfait,Commercial,84
Forfait,Bon,212
Forfait,Freebox,72
Forfait,Box,203
Forfait,Julien,11
Forfait,Équipe,14
Forfait,Très,31
Forfait,Problème,114
Forfait,Technicien,21
Forfait,Fibre,26
Forfait,Intervention,8
Forfait,Lent,9
Forfait,Vous,38
Forfait,Content,30
Forfait,Facture,68
Forfait,Réponse,57
Forfait,Attente,27
Forfait,Tout,6
Forfait,Une,13
Forfait,Super,4
Forfait,Bien,11
Forfait,Temps,48
Forfait,Pas,20
Forfait,Merci,70
Forfait,Aide,20
Forfait,Mon,31
Forfait,Satisfait,40
Forfait,Conseillère,8
Forfait,Nous,29
Forfait,Marie,24
Forfait,Rapide,19
Forfait,Rien,6
Forfait,Réseau,46
Forfait,Les,30
Forfait,Excellent,3
Forfait,Ras,1
Forfait,Bravo,3
Forfait,Personne,1
Déçu,Mobile,53
Déçu,Internet,75
Déçu,Fibre,44
Déçu,Réseau,42
Déçu,Conseil,167
Déçu,Très,129
Déçu,Satisfait,40
Déçu,Free,255
Déçu,Cordialement,39
Déçu,Technicien,57
Déçu,Appel,103
Déçu,Réponse,77
Déçu,Bon,189
Déçu,Solution,35
Déçu,Équipe,16
Déçu,Conseiller,123
Déçu,Problème,100
Déçu,Les,23
Déçu,Panne,28
Déçu,Mon,11
Déçu,Intervention,21
Déçu,Téléphone,91
Déçu,Sav,31
Déçu,Aide,13
Déçu,Box,124
Déçu,Rapide,23
Déçu,Assistance,23
Déçu,Attente,16
Déçu,Bonjour,52
Déçu,Freebox,39
Déçu,Lent,12
Déçu,Client,143
Déçu,Temps,41
Déçu,Marie,9
Déçu,Merci,14
Déçu,Commercial,85
Déçu,Facture,26
Déçu,Une,13
Déçu,Ras,2
Déçu,Information,28
Déçu,Pour,12
Déçu,Nous,16
Déçu,Bien,12
Déçu,Conseillère,4
Déçu,Content,18
Déçu,Julien,9
Déçu,Vous,23
Déçu,Tout,6
Déçu,Personne,5
Déçu,Super,4
Déçu,Pas,16
Déçu,Excellent,1
Déçu,Bravo,1
Déçu,Rien,3
Déçu,Parfait,1
Mobile,Free,352
Mobile,Freebox,110
Mobile,Problème,176
Mobile,Internet,102
Mobile,Conseil,211
Mobile,Box,319
Mobile,Client,164
Mobile,Bon,284
Mobile,Fibre,43
Mobile,Réponse,72
Mobile,Conseiller,148
Mobile,Information,29
Mobile,Aide,24
Mobile,Merci,76
Mobile,Julien,10
Mobile,Assistance,33
Mobile,Panne,36
Mobile,Temps,62
Mobile,Pour,33
Mobile,Commercial,74
Mobile,Nous,18
Mobile,Sav,27
Mobile,Réseau,117
Mobile,Téléphone,147
Mobile,Satisfait,58
Mobile,Marie,22
Mobile,Bien,16
Mobile,Bonjour,75
Mobile,Lent,19
Mobile,Vous,29
Mobile,Équipe,18
Mobile,Technicien,31
Mobile,Solution,51
Mobile,Cordialement,43
Mobile,Mon,31
Mobile,Facture,54
Mobile,Très,31
Mobile,Une,18
Mobile,Conseillère,7
Mobile,Appel,144
Mobile,Les,26
Mobile,Attente,34
Mobile,Pas,24
Mobile,Content,35
Mobile,Bravo,9
Mobile,Rapide,27
Mobile,Excellent,9
Mobile,Rien,6
Mobile,Super,2
Mobile,Intervention,16
Mobile,Tout,13
Mobile,Parfait,2
Mobile,Ras,1
Mobile,Personne,3
Merci,Bonjour,257
Merci,Bon,775
Merci,Rapide,409
Merci,Solution,174
Merci,Réponse,319
Merci,Problème,515
Merci,Temps,167
Merci,Panne,84
Merci,Facture,70
Merci,Très,313
Merci,Free,599
Merci,Équipe,301
Merci,Cordialement,176
Merci,Julien,251
Merci,Aide,222
Merci,Parfait,82
Merci,Technicien,284
Merci,Box,211
Merci,Intervention,129
Merci,Content,65
Merci,Tout,98
Merci,Satisfait,234
Merci,Assistance,112
Merci,Appel,277
Merci,Sav,75
Merci,Conseiller,553
Merci,Conseil,969
Merci,Téléphone,249
Merci,Internet,119
Merci,Fibre,88
Merci,Marie,118
Merci,Lent,88
Merci,Excellent,70
Merci,Réseau,69
Merci,Freebox,61
