node,frequency,degree
Service,2946,58
Mais,447,56
Forfait,858,57
Déçu,668,58
Mobile,860,58
Merci,5015,58
Bon,5324,58
Bonjour,1322,56
Rien,519,57
Téléphone,2297,58
Freebox,558,57
Fibre,940,57
Box,1967,58
Les,573,57
Information,720,57
Free,3891,58
Temps,1288,58
Rapide,1929,58
Satisfait,2241,58
Très,3290,58
Panne,769,57
Tout,636,58
Technicien,2079,58
Conseil,7645,58
Conseiller,4907,58
Client,1958,58
Pas,572,56
Internet,1289,57
Équipe,937,58
Problème,4285,58
Intervention,868,58
Super,633,56
Parfait,1132,49
Réponse,2349,58
Solution,1416,58
Mon,439,56
Ras,391,36
Appel,2532,58
Nous,396,56
Bravo,457,56
Attente,1080,57
Facture,558,56
Sav,524,57
Assistance,708,57
Pour,440,55
Cordialement,805,57
Commercial,853,58
Julien,634,57
Lent,804,58
Réseau,868,58
Excellent,613,57
Aide,686,58
Personne,562,54
Content,552,56
Bien,418,56
Une,492,57
Marie,391,57
Vous,598,57
Conseillère,473,53
