offer,good_opinions,neutral_opinions,bad_opinions,total_opinions,sentiment_score,engagement_rate
Loyalty Program,106,23,23,152,0.5460526315789473,0.7237528002182154
Discount Voucher,26,10,34,70,-0.11428571428571428,0.14646688973455957
Free Shipping,63,19,55,137,0.058394160583941604,0.6207107783590823
Bundle Deal,281,125,-48,358,0.9189944134078212,0.26987128854262094
Cashback Offer,191,68,-18,241,0.8672199170124482,0.5893225283906247
Early Access,155,56,91,302,0.2119205298013245,0.5894823157779036
Referral Bonus,70,85,64,219,0.0273972602739726,0.28621707234424343
Membership Trial,342,79,74,495,0.5414141414141415,0.5113875507308893
Premium Upgrade,196,132,41,369,0.42005420054200543,0.6442460308702238
Seasonal Sale,125,145,108,378,0.04497354497354497,0.8725056264596475
Clearance Event,143,30,118,291,0.0859106529209622,0.2847150604977192
Flash Deal,73,19,49,141,0.1702127659574468,0.4961415280890161
BOGO Offer,185,104,191,480,-0.0125,0.24578887023044987
Student Discount,199,111,127,437,0.16475972540045766,0.5373682234746238
Senior Discount,113,126,120,359,-0.019498607242339833,0.4598033066958126
