offer_name,response_count,avg_csat,csat_std,csat_min,csat_max,avg_nps,nps_std,price,comment_sentiment_mean
Unknown,17154,4.06,1.56,1,5,7.39,3.53,0.0,0.09
Freebox Pop,6348,4.14,1.44,1,5,7.61,3.25,39.99,0.09
Freebox Révolution avec TV by CANAL,4138,4.23,1.37,1,5,7.83,3.09,39.99,0.09
Freebox Révolution Light,1885,4.18,1.44,1,5,7.46,3.41,29.99,0.08
Freebox Ultra avec Player TV Free 4K,1648,4.22,1.39,1,5,7.86,3.19,59.99,0.11
Freebox Delta avec Player TV Free 4K,1476,4.18,1.42,1,5,7.82,3.18,49.99,0.1
Freebox mini 4K,1361,4.11,1.43,1,5,7.63,3.18,29.99,0.09
Freebox Révolution,1214,4.23,1.34,1,5,7.83,3.05,29.99,0.09
Freebox Ultra Essentiel avec Player TV Free 4K,507,4.03,1.53,1,5,7.27,3.57,49.99,0.1
Freebox Delta avec Player TV Free Devialet,491,4.13,1.48,1,5,7.87,3.23,49.99,0.11
Série Spéciale Freebox Pop S,455,4.15,1.44,1,5,7.46,3.36,23.99,0.08
Freebox mini 4K (NEW),446,4.08,1.5,1,5,7.43,3.36,34.99,0.09
Freebox Pop S,343,4.16,1.51,1,5,7.48,3.54,29.99,0.1
Freebox,262,4.18,1.41,1,5,7.94,2.84,29.99,0.09
Freebox Pop avec TV by CANAL,261,4.26,1.35,1,5,7.77,3.05,44.99,0.09
Freebox Delta S,63,3.94,1.53,1,5,7.24,3.72,39.99,0.13
Box 5G,50,3.86,1.7,1,5,7.14,3.79,39.99,0.12
Freebox One,48,3.96,1.61,1,5,7.08,3.68,39.99,0.1
Freebox Crystal (NEW),48,4.4,1.23,1,5,7.83,2.86,24.99,0.09
Freebox Ultra Essentiel sans Player TV,34,4.06,1.56,1,5,7.39,3.9,49.99,0.08
Freebox Ultra sans Player TV,32,3.69,1.77,1,5,7.43,3.7,59.99,0.24
Freebox IPADSL,25,4.0,1.66,1,5,7.12,3.58,35.98,0.04
Freebox Delta avec Apple TV 4K,9,4.33,1.32,1,5,8.38,3.54,49.99,0.1
Freebox Ultra avec Apple TV 4K,5,3.2,2.05,1,5,9.5,0.58,59.99,0.14
