,frequency
Bon,5324
Merci,5015
Conseiller,4907
Je,4609
Problème,4285
Free,3891
Très,3290
Service,2946
Appel,2532
Téléphone,2297
Satisfait,2241
Le,2145
Technicien,2079
Client,1958
Rapide,1929
La,1700
Solution,1416
Bonjour,1322
Internet,1289
Il,1258
Parfait,1132
Fibre,940
Équipe,937
Réseau,868
Forfait,858
Commercial,853
Un,821
Cordialement,805
Lent,804
Panne,769
Déçu,668
Tout,636
Julien,634
Super,633
Excellent,613
Vous,598
Les,573
Pas,572
En,569
On,564
Personne,562
Facture,558
Content,552
Et,540
Rien,519
Une,492
Conseillère,473
Freebox,469
Bravo,457
Mais,447
Pour,440
Mon,439
Ce,434
Bien,418
Nous,396
Ras,391
Marie,391
Technique,375
Qualité,373
Par,359
Cela,350
Elle,346
Dubois,346
Aucune,338
Dommage,327
Contrat,324
Mauvais,320
Installation,314
Si,310
Toujours,309
Correct,307
Au,304
Sophie,276
Léa,273
Ma,267
Bonne,265
Après,258
Top,258
De,250
Réponse,249
Votre,239
Martin,237
Ça,215
Jean,213
Orange,204
Leroy,203
Thomas,198
Comme,196
Prix,195
Non,195
Depuis,192
Agent,183
Donc,179
Élodie,178
Mécontent,174
Proxi,171
Débit,168
Aucun,160
Dans,158
Pierre,155
Impossible,154
Mme,153
Encore,149
Support,145
Malgré,144
Tres,140
Trop,139
Box,136
Plus,134
Pop,134
Cette,134
Vraiment,133
Suite,133
Rue,132
Paix,132
Monsieur,131
Quand,130
Sans,128
Ne,125
Mobile,124
Voltaire,122
Oui,121
Boulevard,121
Des,120
Champs,111
Avenue,111
Juste,108
Accueil,103
Bouygues,100
Heureusement,99
Que,98
Pourquoi,97
Bref,96
Excellente,94
Franchement,94
Continuez,93
Bonsoir,91
Sinon,91
Avec,90
Interlocuteur,87
Madame,86
France,85
Délai,83
Malheureusement,80
Impeccable,80
Alors,80
Lors,79
Cependant,79
Vos,78
Wi,77
Moreau,77
Fi,77
Paris,76
Aujourd,75
Comment,74
Efficace,74
Satisfaite,71
Échange,71
Du,70
Beaucoup,70
Mr,69
Nul,68
Conseillé,68
Lefebvre,68
Ils,67
Même,66
Assistance,66
Laurent,64
Félicitations,64
Interlocutrice,64
Demande,63
Enfin,63
Personnel,61
Rapidité,61
Temps,59
Marc,59
Mes,59
Difficile,58
Netflix,55
Étant,54
Intervention,54
Maintenant,54
Nickel,53
Sur,50
Grand,49
Conseillers,49
Ok,48
Révolution,48
Canal,48
Lorsque,47
Explications,47
Professionnel,47
Car,46
Camille,46
Tous,45
Voilà,45
Salutations,45
Peut,45
Contact,44
Résultat,43
Saint,43
Attente,43
Quel,43
Réactivité,43
Reef,42
Plusieurs,42
Moi,41
Efficacité,41
Ultra,41
Go,40
Luc,40
Or,38
Inadmissible,38
Veuillez,38
Est,38
Manque,37
Finalement,37
Ensuite,37
Surtout,37
Pourtant,36
Pouvez,36
Avant,36
Pro,35
Concernant,35
Deux,34
Prise,34
Lucas,33
Cdt,33
Quelle,33
Grâce,33
Notre,33
Communication,32
Delta,32
Traitement,31
Désolé,31
Réponses,30
Equipe,29
Aussi,29
Jusqu,29
Ca,29
Qui,29
Clair,29
Dépannage,29
Toutefois,28
Quant,28
Me,28
Néanmoins,28
Seul,27
Proxy,27
Ces,26
Délais,26
Samsung,26
Avoir,26
Apparemment,25
Opératrice,25
Opérateur,25
Superbe,25
Ayant,25
Ceci,25
Professionnalisme,24
Belle,24
Bjr,24
Agréable,24
Entre,24
Son,24
Louise,23
Heureux,23
Sa,23
Aimable,22
Toutes,22
Suis,22
Chaque,22
Puis,22
Amabilité,22
Continuer,22
Wifi,22
Cdlt,21
Réactif,21
Déjà,21
Mauvaise,21
Intervenant,21
Vu,21
Conseil,21
Cliente,20
