source,target,weight
Ceci,Très,2
Ceci,Bon,8
Ceci,Technique,3
Ceci,Problème,10
Ceci,Solution,2
Ceci,Équipe,2
Ceci,Conseiller,10
Ceci,Fibre,3
Ceci,Service,4
Ceci,Réseau,2
Ceci,Avec,1
Ceci,Linky,1
Ceci,Les,1
Ceci,Le,10
Ceci,Installation,1
Ceci,Merci,3
Ceci,Bravo,1
Ceci,Comme,1
Ceci,Marie,1
Ceci,Cordialement,1
Ceci,Bonjour,3
Ceci,Satisfait,1
Ceci,Sans,1
Ceci,Appel,5
Ceci,Correct,2
Ceci,Ma,1
Ceci,Je,6
Ceci,Ah,1
Ceci,Des,1
Ceci,Pour,1
Ceci,Un,1
Ceci,Free,4
Ceci,Bref,1
Ceci,Bientôt,1
Ceci,Maintenant,1
Ceci,Depuis,1
Ceci,Technicien,4
Ceci,Ensemble,1
Ceci,Et,1
Ceci,Difficile,1
Ceci,Certes,1
Ceci,Cette,1
Ceci,Julien,1
Ceci,Salutations,2
Ceci,Déçu,3
Ceci,Freebox,2
Ceci,Commercial,2
Ceci,Pop,1
Ceci,Téléphone,3
Ceci,Lors,1
Ceci,Rapide,1
Ceci,Nous,2
Ceci,Il,2
Ceci,Néanmoins,1
Ceci,Internet,1
Ceci,Vous,1
Ceci,Client,3
Ceci,Après,1
Ceci,Romain,1
Ceci,De,1
Ceci,Forfait,1
Ceci,Afin,1
Ceci,Suite,1
Ceci,Jean,1
Ceci,Bjr,1
Ceci,En,1
Ceci,Luc,1
Ceci,Moreau,1
Ceci,Mixe,1
Ceci,Lit,1
Ceci,Mais,1
Ceci,Bonne,1
Ceci,Lent,2
Ceci,Center,1
Ceci,Mes,1
Ceci,Cesson,1
Ceci,Carrefour,1
Ceci,Sévigné,1
Ceci,Facture,1
Ceci,La,1
Ceci,Ne,1
Rio,Saisi,1
Rio,Minuscule,1
Rio,Bon,1
Rio,Bonjour,1
Rio,Service,1
Rio,Cette,1
Rio,Discordance,1
Saisi,Minuscule,1
Il,Contrat,33
Il,Technique,30
Il,Service,178
Il,Déçu,28
Il,Forfait,69
Il,Mais,34
Il,Débit,11
Il,Freebox,46
Il,Manque,2
Il,Pop,7
Il,Conseiller,331
Il,Bon,240
Il,Cela,38
Il,La,90
Il,Pouvez,4
Il,Appel,198
Il,Leroy,10
Il,Free,283
Il,Technicien,180
Il,Pierre,12
Il,Téléphone,180
Il,Réseau,58
Il,Je,278
Il,Et,45
Il,Après,12
Il,Reef,5
Il,Panne,63
Il,Problème,301
Il,Plus,5
Il,Le,196
Il,En,51
Il,Merci,147
Il,Finalement,6
Il,Enfin,6
Il,Lorsque,4
Il,Internet,102
Il,Bonjour,63
Il,Pas,16
Il,Commercial,50
Il,Double,1
Il,Rien,9
Il,Client,165
Il,Marc,11
Il,Fibre,72
Il,Ce,52
Il,Déplorable,1
Il,Ça,16
Il,Les,44
Il,Dommage,13
Il,Centrale,2
Il,Équipe,31
Il,Aucun,5
Il,Cordialement,47
Il,Solution,96
Il,Toutefois,3
Il,Proxi,10
Il,De,22
Il,Celui,4
Il,Vous,39
Il,Cependant,7
Il,Satisfait,54
Il,Pour,28
Il,Sans,7
Il,Tout,14
Il,Si,25
Il,Prix,16
Il,Léa,12
Il,Installation,30
Il,Facture,45
Il,Quand,8
Il,Peu,1
Il,Rapide,58
Il,Orange,10
Il,Support,8
Il,Au,21
Il,Délai,5
Il,Voilà,4
Il,Qu,3
Il,Disney,2
Il,Leur,2
Il,Moi,6
Il,Marie,23
Il,Somfy,1
Il,Paris,7
Il,Voltaire,14
Il,Lefèvre,4
Il,Boulevard,14
Il,Mamie,1
Il,Correct,20
Il,Avec,8
Il,Autre,1
Il,Reste,2
Il,Julien,37
Il,Moulineaux,1
Il,Comme,9
Il,Issy,1
Il,Sfr,1
Il,Box,18
Il,Votre,18
Il,Aucune,10
Il,On,32
Il,Avenue,11
Il,Champs,11
Il,Nous,28
Il,Entièrement,1
Il,Un,39
Il,Ils,5
Il,Une,21
Il,Maintenant,5
Il,Qee,1
Il,Dubois,21
Il,Monsieur,13
Il,Jean,14
Il,Sauf,1
Il,Contact,1
Il,Toujours,7
Il,Ultra,4
Il,Lent,30
Il,Qualité,27
Il,Comptant,2
Il,Mauvais,26
Il,Lemaire,1
Il,Élodie,7
Il,Pourquoi,9
Il,Apparemment,2
Il,Delta,4
Il,Server,1
Il,Efficace,1
Il,Lors,6
Il,Très,35
Il,Sophie,11
Il,Mme,6
Il,Martin,14
Il,Alors,11
Il,Parfait,3
Il,Juliette,1
Il,Boris,1
Il,Donc,16
Il,Passer,1
Il,Cette,5
Il,Par,25
Il,Pro,3
Il,Cerise,1
Il,Échange,3
Il,Wi,4
Il,Fi,4
Il,Mon,31
Il,Lorsqu,3
Il,Bouygues,10
Il,Proxy,1
Il,Ma,9
Il,Image,1
Il,Madame,5
Il,Netflix,6
Il,Pourtant,6
Il,Entre,4
Il,Dans,12
Il,Abonnée,1
Il,Depuis,13
Il,Quant,4
Il,Bravo,21
Il,Paix,16
Il,Tous,2
Il,Rue,16
Il,Bien,10
Il,Personnel,1
Il,Chronopost,2
Il,Elle,8
Il,Celle,1
Il,Bref,12
Il,Débrancher,1
Il,Imagine,1
Il,Réponse,5
Il,Vos,1
Il,Écran,1
Il,Laurent,6
Il,Être,1
Il,Moreau,5
Il,Excellent,11
Il,Suite,4
Il,Canal,2
Il,Mobile,13
Il,Family,1
Il,Mail,1
Il,Ou,2
Il,Résultat,3
Il,Que,6
Il,Différents,1
Il,Acheter,1
Il,Hier,1
Il,Quatre,1
Il,Horrible,1
Il,Jordan,1
Il,Opérateur,1
Il,Mécontent,16
Il,Content,26
Il,Note,1
Il,Théo,3
Il,Bordeaux,1
Il,Clément,2
Il,Deux,2
Il,Publicité,2
Il,Concernant,6
Il,Sur,2
Il,Deuxième,1
Il,Troisième,1
Il,Agent,8
Il,Société,1
Il,Rassurez,1
Il,Refus,1
Il,Ok,2
Il,Souscription,2
Il,Sachez,2
Il,Là,2
Il,Flex,4
Il,Totalement,1
Il,Opératrice,1
Il,Perturbations,1
Il,Changement,1
Il,Personne,3
Il,Demande,1
Il,Révolution,4
Il,Light,1
Il,Salutations,3
Il,Heureusement,11
Il,Or,6
Il,Mes,4
Il,Résiliation,1
Il,Actuellement,3
Il,Eddy,1
Il,Khabib,1
Il,Info,1
Il,Thomas,11
Il,Lefebvre,6
Il,Plein,1
Il,Consultez,1
Il,Comment,7
Il,Ca,2
Il,Traiter,1
Il,Contrairement,1
Il,Même,3
Il,Bonne,9
Il,Erreur,2
Il,Ensemble,1
Il,Voir,1
Il,Satisfaite,2
Il,Période,1
Il,Sport,1
Il,Bein,1
Il,Proximité,2
